order_item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,created_at,updated_at,,
109,51,4007,1,28.99,0.0,6.67,2023-07-01T09:29:00,2023-07-01T09:29:00,,
110,52,5007,1,89.99,0.0,20.7,2023-09-21T16:10:00,2023-09-21T16:10:00,,
111,52,2013,1,45.99,0.0,10.58,2023-09-21T16:10:00,2023-09-21T16:10:00,,
112,52,1025,1,45.99,0.0,10.58,2023-09-21T16:10:00,2023-09-21T16:10:00,,
113,52,1018,1,32.99,0.0,7.59,2023-09-21T16:10:00,2023-09-21T16:10:00,,
114,52,2010,1,9.99,0.5,2.18,2023-09-21T16:10:00,2023-09-21T16:10:00,,
115,53,2019,1,55.99,0.0,12.88,2023-12-06T19:35:00,2023-12-06T19:35:00,,
116,53,1005,1,45.99,0.0,10.58,2023-12-06T19:35:00,2023-12-06T19:35:00,,
117,54,5010,3,35.99,5.4,23.59,2023-10-30T18:33:00,2023-10-30T18:33:00,,
118,54,1029,2,119.99,0.0,55.2,2023-10-30T18:33:00,2023-10-30T18:33:00,,
119,55,4006,1,299.99,0.0,69.0,2023-06-24T20:37:00,2023-06-24T20:37:00,,
120,55,1004,1,8.99,0.0,2.07,2023-06-24T20:37:00,2023-06-24T20:37:00,,
121,55,5009,2,45.99,0.0,21.16,2023-06-24T20:37:00,2023-06-24T20:37:00,,
122,55,1020,1,129.99,0.0,29.9,2023-06-24T20:37:00,2023-06-24T20:37:00,,
123,56,4007,2,28.99,0.0,13.34,2023-03-30T14:49:00,2023-03-30T14:49:00,,
124,56,2010,1,9.99,0.0,2.3,2023-03-30T14:49:00,2023-03-30T14:49:00,,
125,57,5009,1,45.99,0.0,10.58,2024-03-30T08:50:00,2024-03-30T08:50:00,,
126,58,1031,3,42.99,0.0,29.66,2023-10-09T11:15:00,2023-10-09T11:15:00,,
127,58,1005,1,45.99,0.0,10.58,2023-10-09T11:15:00,2023-10-09T11:15:00,,
128,59,2023,2,39.99,0.0,18.4,2023-06-27T19:48:00,2023-06-27T19:48:00,,
129,60,4008,2,24.99,0.0,11.5,2023-06-18T18:05:00,2023-06-18T18:05:00,,
130,60,4004,1,119.99,0.0,27.6,2023-06-18T18:05:00,2023-06-18T18:05:00,,
131,61,1028,1,45.99,4.6,9.52,2024-04-07T21:06:00,2024-04-07T21:06:00,,
132,62,2030,2,89.99,18.0,37.26,2023-03-21T17:18:00,2023-03-21T17:18:00,,
133,63,1029,1,119.99,0.0,27.6,2023-12-09T21:46:00,2023-12-09T21:46:00,,
134,64,2018,2,45.99,4.6,20.1,2023-09-12T15:54:00,2023-09-12T15:54:00,,
135,64,1018,2,32.99,3.3,14.42,2023-09-12T15:54:00,2023-09-12T15:54:00,,
136,64,2004,1,3.99,0.0,0.92,2023-09-12T15:54:00,2023-09-12T15:54:00,,
137,64,1032,2,49.99,5.0,21.85,2023-09-12T15:54:00,2023-09-12T15:54:00,,
138,65,2021,1,149.99,0.0,34.5,2023-10-06T23:20:00,2023-10-06T23:20:00,,
139,65,1015,1,69.99,0.0,16.1,2023-10-06T23:20:00,2023-10-06T23:20:00,,
140,66,5010,1,35.99,0.0,8.28,2023-06-25T16:05:00,2023-06-25T16:05:00,,
141,66,5007,2,89.99,18.0,37.26,2023-06-25T16:05:00,2023-06-25T16:05:00,,
142,67,4006,1,299.99,0.0,69.0,2023-11-03T13:26:00,2023-11-03T13:26:00,,
143,67,3003,1,18.99,0.0,4.37,2023-11-03T13:26:00,2023-11-03T13:26:00,,
144,68,1008,1,24.99,1.25,5.46,2023-08-25T19:57:00,2023-08-25T19:57:00,,
145,68,2026,1,32.99,0.0,7.59,2023-08-25T19:57:00,2023-08-25T19:57:00,,
146,69,1012,1,18.99,0.0,4.37,2023-10-25T12:15:00,2023-10-25T12:15:00,,
147,70,2024,1,69.99,0.0,16.1,2024-03-20T14:26:00,2024-03-20T14:26:00,,
148,70,1014,1,32.99,0.0,7.59,2024-03-20T14:26:00,2024-03-20T14:26:00,,
149,71,2018,1,45.99,2.3,10.05,2023-10-13T11:45:00,2023-10-13T11:45:00,,
150,71,3004,1,249.99,0.0,57.5,2023-10-13T11:45:00,2023-10-13T11:45:00,,
151,72,4008,1,24.99,0.0,5.75,2023-11-08T13:43:00,2023-11-08T13:43:00,,
152,72,5008,1,299.99,0.0,69.0,2023-11-08T13:43:00,2023-11-08T13:43:00,,
153,73,2029,1,129.99,0.0,29.9,2023-11-13T19:16:00,2023-11-13T19:16:00,,
154,73,4006,1,299.99,30.0,62.1,2023-11-13T19:16:00,2023-11-13T19:16:00,,
155,74,2016,1,45.99,0.0,10.58,2024-05-13T12:45:00,2024-05-13T12:45:00,,
156,74,1010,2,22.99,0.0,10.58,2024-05-13T12:45:00,2024-05-13T12:45:00,,
157,74,1023,1,28.99,0.0,6.67,2024-05-13T12:45:00,2024-05-13T12:45:00,,
158,74,2029,1,129.99,0.0,29.9,2024-05-13T12:45:00,2024-05-13T12:45:00,,
159,74,1033,1,79.99,0.0,18.4,2024-05-13T12:45:00,2024-05-13T12:45:00,,
160,75,2011,2,7.99,0.8,3.49,2023-03-07T23:04:00,2023-03-07T23:04:00,,
161,75,1021,1,189.99,0.0,43.7,2023-03-07T23:04:00,2023-03-07T23:04:00,,
162,76,3003,1,18.99,0.0,4.37,2023-11-04T11:55:00,2023-11-04T11:55:00,,
163,76,4006,1,299.99,0.0,69.0,2023-11-04T11:55:00,2023-11-04T11:55:00,,
164,77,5009,1,45.99,0.0,10.58,2023-08-26T17:58:00,2023-08-26T17:58:00,,
165,78,2029,1,129.99,0.0,29.9,2023-06-08T08:31:00,2023-06-08T08:31:00,,
166,79,2023,1,39.99,0.0,9.2,2024-03-01T15:30:00,2024-03-01T15:30:00,,
167,80,3005,2,159.99,0.0,73.6,2023-11-23T19:41:00,2023-11-23T19:41:00,,
168,81,1003,1,199.99,10.0,43.7,2023-11-08T14:42:00,2023-11-08T14:42:00,,
169,81,4006,1,299.99,15.0,65.55,2023-11-08T14:42:00,2023-11-08T14:42:00,,
170,81,3006,1,12.99,0.0,2.99,2023-11-08T14:42:00,2023-11-08T14:42:00,,
171,82,3005,1,159.99,0.0,36.8,2023-08-16T16:14:00,2023-08-16T16:14:00,,
172,82,2022,1,79.99,0.0,18.4,2023-08-16T16:14:00,2023-08-16T16:14:00,,
173,83,1030,1,189.99,0.0,43.7,2023-03-14T11:40:00,2023-03-14T11:40:00,,
174,83,1032,1,49.99,5.0,10.35,2023-03-14T11:40:00,2023-03-14T11:40:00,,
175,84,2032,1,39.99,0.0,9.2,2023-09-30T21:08:00,2023-09-30T21:08:00,,
176,84,1003,1,199.99,0.0,46.0,2023-09-30T21:08:00,2023-09-30T21:08:00,,
177,84,2021,1,149.99,0.0,34.5,2023-09-30T21:08:00,2023-09-30T21:08:00,,
178,85,3007,1,15.99,0.0,3.68,2023-05-04T23:27:00,2023-05-04T23:27:00,,
179,86,3004,3,249.99,0.0,172.49,2023-08-07T19:59:00,2023-08-07T19:59:00,,
180,87,2022,2,79.99,0.0,36.8,2023-12-15T16:02:00,2023-12-15T16:02:00,,
181,87,2008,1,8.99,0.0,2.07,2023-12-15T16:02:00,2023-12-15T16:02:00,,
182,88,5003,1,19.99,0.0,4.6,2023-06-16T22:37:00,2023-06-16T22:37:00,,
183,89,2006,1,79.99,4.0,17.48,2023-06-22T20:28:00,2023-06-22T20:28:00,,
184,90,2005,2,42.99,0.0,19.78,2023-07-07T20:13:00,2023-07-07T20:13:00,,
185,90,2013,2,45.99,0.0,21.16,2023-07-07T20:13:00,2023-07-07T20:13:00,,
186,90,2012,3,19.99,0.0,13.79,2023-07-07T20:13:00,2023-07-07T20:13:00,,
187,91,1023,1,28.99,0.0,6.67,2023-02-25T19:21:00,2023-02-25T19:21:00,,
188,91,3001,1,22.99,2.3,4.76,2023-02-25T19:21:00,2023-02-25T19:21:00,,
189,92,2005,1,42.99,0.0,9.89,2023-04-19T15:56:00,2023-04-19T15:56:00,,
190,93,1025,2,45.99,0.0,21.16,2024-04-07T11:19:00,2024-04-07T11:19:00,,
191,93,1029,1,119.99,0.0,27.6,2024-04-07T11:19:00,2024-04-07T11:19:00,,
192,94,5006,1,249.99,0.0,57.5,2023-04-01T14:06:00,2023-04-01T14:06:00,,
193,95,1010,1,22.99,2.3,4.76,2023-08-05T16:36:00,2023-08-05T16:36:00,,
194,95,4004,2,119.99,24.0,49.68,2023-08-05T16:36:00,2023-08-05T16:36:00,,
195,95,2017,1,35.99,0.0,8.28,2023-08-05T16:36:00,2023-08-05T16:36:00,,
196,95,1028,1,45.99,0.0,10.58,2023-08-05T16:36:00,2023-08-05T16:36:00,,
197,95,3002,1,15.99,1.6,3.31,2023-08-05T16:36:00,2023-08-05T16:36:00,,
198,96,1016,2,35.99,0.0,16.56,2023-09-23T16:25:00,2023-09-23T16:25:00,,
199,96,4005,2,189.99,38.0,78.66,2023-09-23T16:25:00,2023-09-23T16:25:00,,
200,96,5001,1,15.99,0.0,3.68,2023-09-23T16:25:00,2023-09-23T16:25:00,,
201,96,2014,1,89.99,0.0,20.7,2023-09-23T16:25:00,2023-09-23T16:25:00,,
202,97,1017,2,25.99,0.0,11.96,2024-04-21T21:10:00,2024-04-21T21:10:00,,
203,97,3006,1,12.99,0.0,2.99,2024-04-21T21:10:00,2024-04-21T21:10:00,,
204,97,2029,2,129.99,0.0,59.8,2024-04-21T21:10:00,2024-04-21T21:10:00,,
205,97,2002,1,139.99,0.0,32.2,2024-04-21T21:10:00,2024-04-21T21:10:00,,
206,98,5008,1,299.99,15.0,65.55,2023-10-01T17:55:00,2023-10-01T17:55:00,,
207,99,3007,1,15.99,1.6,3.31,2024-03-13T14:47:00,2024-03-13T14:47:00,,
208,99,2022,2,79.99,0.0,36.8,2024-03-13T14:47:00,2024-03-13T14:47:00,,
209,100,1020,2,129.99,0.0,59.8,2023-02-05T21:24:00,2023-02-05T21:24:00,,
210,100,1010,1,22.99,2.3,4.76,2023-02-05T21:24:00,2023-02-05T21:24:00,,
211,101,2015,2,119.99,0.0,55.2,2023-10-10T14:54:00,2023-10-10T14:54:00,,
212,102,2021,2,149.99,0.0,69.0,2023-09-20T19:08:00,2023-09-20T19:08:00,,
213,103,1031,1,42.99,0.0,9.89,2023-01-23T17:57:00,2023-01-23T17:57:00,,
214,104,3008,1,18.99,0.0,4.37,2023-03-09T19:48:00,2023-03-09T19:48:00,,
215,104,1002,1,165.99,16.6,34.36,2023-03-09T19:48:00,2023-03-09T19:48:00,,
216,105,2004,1,3.99,0.0,0.92,2023-09-22T19:53:00,2023-09-22T19:53:00,,
217,106,2009,1,16.99,0.85,3.71,2023-03-26T13:02:00,2023-03-26T13:02:00,,
218,106,2020,2,199.99,0.0,92.0,2023-03-26T13:02:00,2023-03-26T13:02:00,,
219,106,5001,1,15.99,0.0,3.68,2023-03-26T13:02:00,2023-03-26T13:02:00,,
220,106,1025,1,45.99,4.6,9.52,2023-03-26T13:02:00,2023-03-26T13:02:00,,
221,106,5009,1,45.99,0.0,10.58,2023-03-26T13:02:00,2023-03-26T13:02:00,,
222,107,1008,1,24.99,0.0,5.75,2023-07-26T18:32:00,2023-07-26T18:32:00,,
223,108,1031,1,42.99,0.0,9.89,2023-06-20T09:26:00,2023-06-20T09:26:00,,
224,109,1034,2,99.99,0.0,46.0,2024-01-05T21:23:00,2024-01-05T21:23:00,,
225,109,1002,1,165.99,8.3,36.27,2024-01-05T21:23:00,2024-01-05T21:23:00,,
226,109,1017,2,25.99,0.0,11.96,2024-01-05T21:23:00,2024-01-05T21:23:00,,
227,109,3001,1,22.99,0.0,5.29,2024-01-05T21:23:00,2024-01-05T21:23:00,,
228,110,2022,2,79.99,0.0,36.8,2023-09-15T18:12:00,2023-09-15T18:12:00,,
229,110,1009,1,15.99,0.0,3.68,2023-09-15T18:12:00,2023-09-15T18:12:00,,
230,111,1018,2,32.99,0.0,15.18,2023-05-01T22:37:00,2023-05-01T22:37:00,,
231,111,1003,2,199.99,40.0,82.8,2023-05-01T22:37:00,2023-05-01T22:37:00,,
232,112,1006,1,11.99,0.0,2.76,2023-01-25T14:19:00,2023-01-25T14:19:00,,
233,113,1024,1,24.99,0.0,5.75,2023-12-19T16:33:00,2023-12-19T16:33:00,,
234,113,2024,2,69.99,0.0,32.2,2023-12-19T16:33:00,2023-12-19T16:33:00,,
235,114,2025,2,89.99,9.0,39.33,2023-09-01T22:43:00,2023-09-01T22:43:00,,
236,115,1022,1,89.99,0.0,20.7,2023-10-20T16:04:00,2023-10-20T16:04:00,,
237,115,2008,1,8.99,0.0,2.07,2023-10-20T16:04:00,2023-10-20T16:04:00,,
238,115,1034,3,99.99,0.0,68.99,2023-10-20T16:04:00,2023-10-20T16:04:00,,
239,116,2007,1,12.99,0.0,2.99,2023-10-12T11:10:00,2023-10-12T11:10:00,,
240,117,2003,1,145.99,7.3,31.9,2023-07-14T19:56:00,2023-07-14T19:56:00,,
241,118,4006,3,299.99,0.0,206.99,2023-01-30T23:04:00,2023-01-30T23:04:00,,
242,118,2023,1,39.99,2.0,8.74,2023-01-30T23:04:00,2023-01-30T23:04:00,,
243,118,3007,2,15.99,0.0,7.36,2023-01-30T23:04:00,2023-01-30T23:04:00,,
244,118,2006,1,79.99,0.0,18.4,2023-01-30T23:04:00,2023-01-30T23:04:00,,
245,119,3001,2,22.99,0.0,10.58,2023-05-25T18:58:00,2023-05-25T18:58:00,,
246,119,1017,1,25.99,2.6,5.38,2023-05-25T18:58:00,2023-05-25T18:58:00,,
247,120,2019,3,55.99,0.0,38.63,2024-01-30T08:27:00,2024-01-30T08:27:00,,
248,120,1017,2,25.99,5.2,10.76,2024-01-30T08:27:00,2024-01-30T08:27:00,,
249,120,1023,1,28.99,1.45,6.33,2024-01-30T08:27:00,2024-01-30T08:27:00,,
250,121,2006,2,79.99,0.0,36.8,2023-11-25T09:42:00,2023-11-25T09:42:00,,
251,121,4008,1,24.99,0.0,5.75,2023-11-25T09:42:00,2023-11-25T09:42:00,,
252,121,3003,1,18.99,0.0,4.37,2023-11-25T09:42:00,2023-11-25T09:42:00,,
253,122,2028,1,29.99,0.0,6.9,2023-10-14T16:18:00,2023-10-14T16:18:00,,
254,122,2006,1,79.99,4.0,17.48,2023-10-14T16:18:00,2023-10-14T16:18:00,,
255,123,1005,2,45.99,4.6,20.1,2023-12-03T17:45:00,2023-12-03T17:45:00,,
256,124,2024,1,69.99,0.0,16.1,2023-10-15T16:55:00,2023-10-15T16:55:00,,
257,124,2005,1,42.99,4.3,8.9,2023-10-15T16:55:00,2023-10-15T16:55:00,,
258,124,1017,1,25.99,2.6,5.38,2023-10-15T16:55:00,2023-10-15T16:55:00,,
259,125,2020,1,199.99,0.0,46.0,2024-03-17T20:53:00,2024-03-17T20:53:00,,
260,125,5003,1,19.99,0.0,4.6,2024-03-17T20:53:00,2024-03-17T20:53:00,,
261,126,2029,1,129.99,0.0,29.9,2023-04-12T21:19:00,2023-04-12T21:19:00,,
262,126,3007,1,15.99,0.8,3.49,2023-04-12T21:19:00,2023-04-12T21:19:00,,
263,127,4003,2,24.99,0.0,11.5,2023-08-18T20:33:00,2023-08-18T20:33:00,,
264,127,2007,1,12.99,0.0,2.99,2023-08-18T20:33:00,2023-08-18T20:33:00,,
265,128,1032,1,49.99,2.5,10.92,2023-01-23T08:52:00,2023-01-23T08:52:00,,
266,129,2014,1,89.99,0.0,20.7,2023-07-13T18:30:00,2023-07-13T18:30:00,,
267,129,1010,2,22.99,0.0,10.58,2023-07-13T18:30:00,2023-07-13T18:30:00,,
268,130,1029,1,119.99,6.0,26.22,2024-04-20T17:41:00,2024-04-20T17:41:00,,
269,130,2012,1,19.99,0.0,4.6,2024-04-20T17:41:00,2024-04-20T17:41:00,,
270,130,2011,1,7.99,0.4,1.75,2024-04-20T17:41:00,2024-04-20T17:41:00,,
271,130,2023,2,39.99,8.0,16.56,2024-04-20T17:41:00,2024-04-20T17:41:00,,
272,131,1035,1,59.99,0.0,13.8,2024-03-23T08:39:00,2024-03-23T08:39:00,,
273,132,2002,2,139.99,0.0,64.4,2023-10-25T09:03:00,2023-10-25T09:03:00,,
274,133,2028,3,29.99,0.0,20.69,2023-07-17T13:02:00,2023-07-17T13:02:00,,
275,133,1009,2,15.99,0.0,7.36,2023-07-17T13:02:00,2023-07-17T13:02:00,,
276,134,2023,1,39.99,0.0,9.2,2024-01-28T13:32:00,2024-01-28T13:32:00,,
277,134,2027,1,24.99,0.0,5.75,2024-01-28T13:32:00,2024-01-28T13:32:00,,
278,134,1018,1,32.99,1.65,7.21,2024-01-28T13:32:00,2024-01-28T13:32:00,,
279,135,4002,1,18.99,0.95,4.15,2023-02-06T15:05:00,2023-02-06T15:05:00,,
280,136,3008,2,18.99,1.9,8.3,2023-07-11T17:15:00,2023-07-11T17:15:00,,
281,136,5001,2,15.99,0.0,7.36,2023-07-11T17:15:00,2023-07-11T17:15:00,,
282,137,1031,1,42.99,2.15,9.39,2023-08-03T10:58:00,2023-08-03T10:58:00,,
283,137,1009,2,15.99,0.0,7.36,2023-08-03T10:58:00,2023-08-03T10:58:00,,
