order_id,customer_id,order_date,payment_method_id,session_id,order_status,subtotal_amount,discount_amount,tax_amount,shipping_amount,total_amount,created_at,updated_at,,
40,127,2024-02-15T17:01:00,3,711,completed,310.49,0.0,71.41,25.99,407.89,2024-02-15T17:01:00,2024-02-15T17:01:00,,
41,54,2023-08-11T08:52:00,4,2949,completed,589.13,117.83,108.4,15.99,595.69,2023-08-11T08:52:00,2023-08-11T08:52:00,,
42,123,2023-06-04T16:15:00,3,2110,completed,753.72,0.0,173.36,0,927.08,2023-06-04T16:15:00,2023-06-04T16:15:00,,
43,170,2023-12-27T19:22:00,1,2035,shipped,278.54,55.71,51.25,25.99,300.07,2023-12-27T19:22:00,2023-12-27T19:22:00,,
44,192,2023-12-21T21:25:00,2,2114,completed,333.53,66.71,61.37,19.99,348.18,2023-12-21T21:25:00,2023-12-21T21:25:00,,
45,129,2024-02-29T21:38:00,1,2992,completed,109.48,21.9,20.14,0,107.72,2024-02-29T21:38:00,2024-02-29T21:38:00,,
46,178,2024-05-02T14:19:00,1,3472,completed,780.35,78.04,161.53,15.99,879.83,2024-05-02T14:19:00,2024-05-02T14:19:00,,
47,170,2024-04-17T23:19:00,1,1390,completed,421.24,0.0,96.89,25.99,544.12,2024-04-17T23:19:00,2024-04-17T23:19:00,,
48,62,2023-12-27T12:28:00,3,97,completed,719.69,143.94,132.42,0,708.17,2023-12-27T12:28:00,2023-12-27T12:28:00,,
49,101,2024-04-21T21:32:00,1,1202,completed,741.06,111.16,144.88,25.99,800.77,2024-04-21T21:32:00,2024-04-21T21:32:00,,
50,196,2023-09-13T11:53:00,2,1614,completed,597.21,89.58,116.75,25.99,650.37,2023-09-13T11:53:00,2023-09-13T11:53:00,,
51,78,2023-07-01T09:29:00,1,316,completed,291.93,29.19,60.43,25.99,349.16,2023-07-01T09:29:00,2023-07-01T09:29:00,,
52,10,2023-09-21T16:10:00,1,2108,shipped,186.66,18.67,38.64,25.99,232.62,2023-09-21T16:10:00,2023-09-21T16:10:00,,
53,32,2023-12-06T19:35:00,4,3328,shipped,153.75,0.0,35.36,0,189.11,2023-12-06T19:35:00,2023-12-06T19:35:00,,
54,115,2023-10-30T18:33:00,2,1588,shipped,682.75,0.0,157.03,0,839.78,2023-10-30T18:33:00,2023-10-30T18:33:00,,
55,5,2023-06-24T20:37:00,7,1656,completed,207.03,41.41,38.09,0,203.71,2023-06-24T20:37:00,2023-06-24T20:37:00,,
56,32,2023-03-30T14:49:00,4,1612,cancelled,343.98,0.0,79.12,25.99,449.09,2023-03-30T14:49:00,2023-03-30T14:49:00,,
57,22,2024-03-30T08:50:00,5,2532,completed,77.24,15.45,14.21,0,76.0,2024-03-30T08:50:00,2024-03-30T08:50:00,,
58,168,2023-10-09T11:15:00,7,3184,completed,293.67,0.0,67.54,0,361.21,2023-10-09T11:15:00,2023-10-09T11:15:00,,
59,144,2023-06-27T19:48:00,2,1304,completed,446.75,89.35,82.2,0,439.6,2023-06-27T19:48:00,2023-06-27T19:48:00,,
60,107,2023-06-18T18:05:00,4,2282,completed,395.94,0.0,91.07,0,487.01,2023-06-18T18:05:00,2023-06-18T18:05:00,,
61,154,2024-04-07T21:06:00,4,1699,completed,257.15,38.57,50.27,25.99,294.84,2024-04-07T21:06:00,2024-04-07T21:06:00,,
62,42,2023-03-21T17:18:00,2,1703,completed,606.13,0.0,139.41,0,745.54,2023-03-21T17:18:00,2023-03-21T17:18:00,,
63,5,2023-12-09T21:46:00,4,3150,completed,497.32,0.0,114.38,25.99,637.69,2023-12-09T21:46:00,2023-12-09T21:46:00,,
64,97,2023-09-12T15:54:00,3,2141,processing,359.22,0.0,82.62,19.99,461.83,2023-09-12T15:54:00,2023-09-12T15:54:00,,
65,28,2023-10-06T23:20:00,4,3376,completed,577.35,0.0,132.79,15.99,726.13,2023-10-06T23:20:00,2023-10-06T23:20:00,,
66,118,2023-06-25T16:05:00,4,1487,completed,284.55,0.0,65.45,15.99,365.99,2023-06-25T16:05:00,2023-06-25T16:05:00,,
67,196,2023-11-03T13:26:00,2,2369,processing,524.24,0.0,120.58,25.99,670.81,2023-11-03T13:26:00,2023-11-03T13:26:00,,
68,146,2023-08-25T19:57:00,7,2791,completed,134.74,0.0,30.99,0,165.73,2023-08-25T19:57:00,2023-08-25T19:57:00,,
69,116,2023-10-25T12:15:00,7,2371,completed,110.29,0.0,25.37,0,135.66,2023-10-25T12:15:00,2023-10-25T12:15:00,,
70,136,2024-03-20T14:26:00,4,1452,completed,266.62,13.33,58.26,15.99,327.54,2024-03-20T14:26:00,2024-03-20T14:26:00,,
71,5,2023-10-13T11:45:00,3,1350,shipped,52.42,7.86,10.25,0,54.81,2023-10-13T11:45:00,2023-10-13T11:45:00,,
72,133,2023-11-08T13:43:00,4,3148,completed,496.96,0.0,114.3,19.99,631.25,2023-11-08T13:43:00,2023-11-08T13:43:00,,
73,108,2023-11-13T19:16:00,2,1911,completed,474.8,94.96,87.36,15.99,483.19,2023-11-13T19:16:00,2023-11-13T19:16:00,,
74,87,2024-05-13T12:45:00,4,2511,completed,82.02,16.4,15.09,0,80.71,2024-05-13T12:45:00,2024-05-13T12:45:00,,
75,73,2023-03-07T23:04:00,4,2988,cancelled,281.91,0.0,64.84,0,346.75,2023-03-07T23:04:00,2023-03-07T23:04:00,,
76,49,2023-11-04T11:55:00,1,1175,completed,421.05,63.16,82.31,15.99,456.19,2023-11-04T11:55:00,2023-11-04T11:55:00,,
77,29,2023-08-26T17:58:00,2,524,completed,417.4,0.0,96.0,15.99,529.39,2023-08-26T17:58:00,2023-08-26T17:58:00,,
78,165,2023-06-08T08:31:00,2,1954,processing,471.74,0.0,108.5,0,580.24,2023-06-08T08:31:00,2023-06-08T08:31:00,,
79,65,2024-03-01T15:30:00,1,2099,completed,68.32,3.42,14.93,15.99,95.82,2024-03-01T15:30:00,2024-03-01T15:30:00,,
80,179,2023-11-23T19:41:00,1,2157,completed,75.28,3.76,16.45,19.99,107.96,2023-11-23T19:41:00,2023-11-23T19:41:00,,
81,115,2023-11-08T14:42:00,7,2356,completed,434.47,0.0,99.93,25.99,560.39,2023-11-08T14:42:00,2023-11-08T14:42:00,,
82,62,2023-08-16T16:14:00,1,2014,completed,377.41,56.61,73.78,0,394.58,2023-08-16T16:14:00,2023-08-16T16:14:00,,
83,195,2023-03-14T11:40:00,1,1005,shipped,454.04,0.0,104.43,19.99,578.46,2023-03-14T11:40:00,2023-03-14T11:40:00,,
84,153,2023-09-30T21:08:00,7,2953,completed,676.48,33.82,147.81,0,790.47,2023-09-30T21:08:00,2023-09-30T21:08:00,,
85,27,2023-05-04T23:27:00,2,2413,completed,203.73,0.0,46.86,0,250.59,2023-05-04T23:27:00,2023-05-04T23:27:00,,
86,24,2023-08-07T19:59:00,5,3014,cancelled,439.47,21.97,96.03,25.99,539.52,2023-08-07T19:59:00,2023-08-07T19:59:00,,
87,145,2023-12-15T16:02:00,3,3222,shipped,365.68,73.14,67.28,0,359.82,2023-12-15T16:02:00,2023-12-15T16:02:00,,
88,97,2023-06-16T22:37:00,2,1969,completed,61.94,12.39,11.4,19.99,80.94,2023-06-16T22:37:00,2023-06-16T22:37:00,,
89,117,2023-06-22T20:28:00,1,1845,processing,299.57,14.98,65.46,0,350.05,2023-06-22T20:28:00,2023-06-22T20:28:00,,
90,60,2023-07-07T20:13:00,6,1433,completed,448.55,67.28,87.69,0,468.96,2023-07-07T20:13:00,2023-07-07T20:13:00,,
91,11,2023-02-25T19:21:00,1,2406,completed,661.89,132.38,121.79,15.99,667.29,2023-02-25T19:21:00,2023-02-25T19:21:00,,
92,93,2023-04-19T15:56:00,5,1347,completed,419.72,62.96,82.05,0,438.81,2023-04-19T15:56:00,2023-04-19T15:56:00,,
93,45,2024-04-07T11:19:00,5,2352,completed,250.7,50.14,46.13,0,246.69,2024-04-07T11:19:00,2024-04-07T11:19:00,,
94,149,2023-04-01T14:06:00,4,1796,shipped,515.95,0.0,118.67,0,634.62,2023-04-01T14:06:00,2023-04-01T14:06:00,,
95,10,2023-08-05T16:36:00,4,3419,completed,214.06,10.7,46.77,0,250.13,2023-08-05T16:36:00,2023-08-05T16:36:00,,
96,147,2023-09-23T16:25:00,3,2489,completed,176.17,35.23,32.42,15.99,189.35,2023-09-23T16:25:00,2023-09-23T16:25:00,,
97,183,2024-04-21T21:10:00,5,36,completed,97.16,4.86,21.23,15.99,129.52,2024-04-21T21:10:00,2024-04-21T21:10:00,,
98,16,2023-10-01T17:55:00,1,253,completed,302.56,60.51,55.67,25.99,323.71,2023-10-01T17:55:00,2023-10-01T17:55:00,,
99,124,2024-03-13T14:47:00,5,2709,completed,104.35,0.0,24.0,0,128.35,2024-03-13T14:47:00,2024-03-13T14:47:00,,
100,91,2023-02-05T21:24:00,7,573,completed,630.36,0.0,144.98,25.99,801.33,2023-02-05T21:24:00,2023-02-05T21:24:00,,
101,134,2023-10-10T14:54:00,5,2865,completed,525.53,52.55,108.79,0,581.77,2023-10-10T14:54:00,2023-10-10T14:54:00,,
102,30,2023-09-20T19:08:00,2,2201,shipped,627.04,94.06,122.59,0,655.57,2023-09-20T19:08:00,2023-09-20T19:08:00,,
103,138,2023-01-23T17:57:00,4,1939,completed,295.08,44.26,57.69,25.99,334.5,2023-01-23T17:57:00,2023-01-23T17:57:00,,
104,25,2023-03-09T19:48:00,5,1330,completed,373.3,18.67,81.56,0,436.19,2023-03-09T19:48:00,2023-03-09T19:48:00,,
105,58,2023-09-22T19:53:00,2,1723,completed,647.45,64.75,134.02,15.99,732.71,2023-09-22T19:53:00,2023-09-22T19:53:00,,
106,118,2023-03-26T13:02:00,2,159,completed,300.41,0.0,69.09,25.99,395.49,2023-03-26T13:02:00,2023-03-26T13:02:00,,
107,52,2023-07-26T18:32:00,1,1275,cancelled,172.94,25.94,33.81,25.99,206.8,2023-07-26T18:32:00,2023-07-26T18:32:00,,
108,134,2023-06-20T09:26:00,4,509,completed,597.44,0.0,137.41,15.99,750.84,2023-06-20T09:26:00,2023-06-20T09:26:00,,
109,152,2024-01-05T21:23:00,5,1023,completed,281.55,0.0,64.76,25.99,372.3,2024-01-05T21:23:00,2024-01-05T21:23:00,,
110,2,2023-09-15T18:12:00,3,169,completed,565.66,0.0,130.1,25.99,721.75,2023-09-15T18:12:00,2023-09-15T18:12:00,,
111,175,2023-05-01T22:37:00,5,1681,shipped,321.64,0.0,73.98,25.99,421.61,2023-05-01T22:37:00,2023-05-01T22:37:00,,
112,104,2023-01-25T14:19:00,4,148,cancelled,195.02,0.0,44.85,0,239.87,2023-01-25T14:19:00,2023-01-25T14:19:00,,
113,122,2023-12-19T16:33:00,6,1254,completed,297.34,0.0,68.39,19.99,385.72,2023-12-19T16:33:00,2023-12-19T16:33:00,,
114,112,2023-09-01T22:43:00,1,1591,completed,279.24,55.85,51.38,15.99,290.76,2023-09-01T22:43:00,2023-09-01T22:43:00,,
115,184,2023-10-20T16:04:00,6,2612,completed,405.18,0.0,93.19,15.99,514.36,2023-10-20T16:04:00,2023-10-20T16:04:00,,
116,123,2023-10-12T11:10:00,1,3020,processing,355.45,35.55,73.58,0,393.48,2023-10-12T11:10:00,2023-10-12T11:10:00,,
117,165,2023-07-14T19:56:00,6,1734,completed,438.57,43.86,90.78,0,485.49,2023-07-14T19:56:00,2023-07-14T19:56:00,,
118,40,2023-01-30T23:04:00,6,2765,completed,526.57,0.0,121.11,0,647.68,2023-01-30T23:04:00,2023-01-30T23:04:00,,
119,93,2023-05-25T18:58:00,4,1742,completed,68.63,0.0,15.78,15.99,100.4,2023-05-25T18:58:00,2023-05-25T18:58:00,,
120,174,2024-01-30T08:27:00,1,1857,completed,548.43,27.42,119.83,19.99,660.83,2024-01-30T08:27:00,2024-01-30T08:27:00,,
121,18,2023-11-25T09:42:00,5,1482,completed,67.26,0.0,15.47,15.99,98.72,2023-11-25T09:42:00,2023-11-25T09:42:00,,
122,101,2023-10-14T16:18:00,4,1431,completed,683.71,0.0,157.25,0,840.96,2023-10-14T16:18:00,2023-10-14T16:18:00,,
123,29,2023-12-03T17:45:00,5,1178,completed,529.73,0.0,121.84,0,651.57,2023-12-03T17:45:00,2023-12-03T17:45:00,,
124,138,2023-10-15T16:55:00,1,1758,completed,241.62,36.24,47.24,15.99,268.61,2023-10-15T16:55:00,2023-10-15T16:55:00,,
125,129,2024-03-17T20:53:00,2,1733,completed,525.27,26.26,114.77,0,613.78,2024-03-17T20:53:00,2024-03-17T20:53:00,,
126,153,2023-04-12T21:19:00,3,3301,completed,362.86,0.0,83.46,15.99,462.31,2023-04-12T21:19:00,2023-04-12T21:19:00,,
127,156,2023-08-18T20:33:00,4,1150,completed,754.53,150.91,138.83,19.99,762.44,2023-08-18T20:33:00,2023-08-18T20:33:00,,
128,111,2023-01-23T08:52:00,4,817,shipped,240.66,0.0,55.35,19.99,316.0,2023-01-23T08:52:00,2023-01-23T08:52:00,,
129,122,2023-07-13T18:30:00,4,2542,completed,382.76,0.0,88.03,0,470.79,2023-07-13T18:30:00,2023-07-13T18:30:00,,
130,85,2024-04-20T17:41:00,1,2860,completed,682.44,34.12,149.11,25.99,823.42,2024-04-20T17:41:00,2024-04-20T17:41:00,,
131,105,2024-03-23T08:39:00,4,1735,cancelled,144.9,28.98,26.66,19.99,162.57,2024-03-23T08:39:00,2024-03-23T08:39:00,,
132,79,2023-10-25T09:03:00,6,2806,completed,175.0,0.0,40.25,0,215.25,2023-10-25T09:03:00,2023-10-25T09:03:00,,
133,108,2023-07-17T13:02:00,1,41,completed,425.95,0.0,97.97,0,523.92,2023-07-17T13:02:00,2023-07-17T13:02:00,,
134,72,2024-01-28T13:32:00,6,2125,completed,52.92,5.29,10.95,25.99,84.57,2024-01-28T13:32:00,2024-01-28T13:32:00,,
135,59,2023-02-06T15:05:00,4,25,completed,517.98,0.0,119.14,15.99,653.11,2023-02-06T15:05:00,2023-02-06T15:05:00,,
136,91,2023-07-11T17:15:00,4,1291,completed,146.21,0.0,33.63,0,179.84,2023-07-11T17:15:00,2023-07-11T17:15:00,,
137,154,2023-08-03T10:58:00,6,3075,completed,91.98,0.0,21.16,0,113.14,2023-08-03T10:58:00,2023-08-03T10:58:00,,
138,116,2023-04-28T23:13:00,2,450,cancelled,693.9,0.0,159.6,19.99,873.49,2023-04-28T23:13:00,2023-04-28T23:13:00,,
139,50,2023-04-14T10:07:00,5,1455,completed,480.12,0.0,110.43,0,590.55,2023-04-14T10:07:00,2023-04-14T10:07:00,,
140,183,2023-10-09T17:19:00,1,2462,completed,324.64,0.0,74.67,25.99,425.3,2023-10-09T17:19:00,2023-10-09T17:19:00,,
141,111,2023-11-04T17:26:00,1,1107,completed,714.87,0.0,164.42,15.99,895.28,2023-11-04T17:26:00,2023-11-04T17:26:00,,
142,185,2023-03-22T21:41:00,4,1721,processing,713.07,106.96,139.41,0,745.52,2023-03-22T21:41:00,2023-03-22T21:41:00,,
143,21,2023-09-24T14:40:00,6,1899,completed,273.62,41.04,53.49,15.99,302.06,2023-09-24T14:40:00,2023-09-24T14:40:00,,
144,34,2023-05-10T16:24:00,3,1048,completed,364.97,18.25,79.75,0,426.47,2023-05-10T16:24:00,2023-05-10T16:24:00,,
145,190,2023-10-12T20:23:00,4,2941,completed,331.84,33.18,68.69,15.99,383.34,2023-10-12T20:23:00,2023-10-12T20:23:00,,
146,153,2023-05-16T12:04:00,3,1944,completed,204.0,0.0,46.92,0,250.92,2023-05-16T12:04:00,2023-05-16T12:04:00,,
147,19,2023-08-31T12:50:00,6,365,completed,221.84,0.0,51.02,19.99,292.85,2023-08-31T12:50:00,2023-08-31T12:50:00,,
148,4,2023-08-27T20:41:00,4,1843,completed,169.06,16.91,34.99,19.99,207.13,2023-08-27T20:41:00,2023-08-27T20:41:00,,
149,132,2024-02-20T09:44:00,1,312,completed,704.37,105.66,137.7,15.99,752.4,2024-02-20T09:44:00,2024-02-20T09:44:00,,
150,147,2023-03-29T22:07:00,4,2446,completed,378.68,56.8,74.03,19.99,415.9,2023-03-29T22:07:00,2023-03-29T22:07:00,,
151,20,2023-04-26T08:39:00,4,1519,completed,286.96,28.7,59.4,19.99,337.65,2023-04-26T08:39:00,2023-04-26T08:39:00,,
152,44,2023-08-06T20:58:00,1,1104,shipped,586.99,0.0,135.01,0,722.0,2023-08-06T20:58:00,2023-08-06T20:58:00,,
153,114,2024-04-17T11:28:00,4,2817,completed,340.38,0.0,78.29,15.99,434.66,2024-04-17T11:28:00,2024-04-17T11:28:00,,
154,69,2023-01-28T09:31:00,6,2723,completed,665.23,66.52,137.7,0,736.41,2023-01-28T09:31:00,2023-01-28T09:31:00,,
155,38,2023-10-23T23:22:00,1,190,completed,427.99,85.6,78.75,0,421.14,2023-10-23T23:22:00,2023-10-23T23:22:00,,
156,30,2023-07-12T15:24:00,2,3428,completed,627.81,62.78,129.96,0,694.99,2023-07-12T15:24:00,2023-07-12T15:24:00,,
157,184,2023-10-10T19:22:00,2,408,completed,597.47,89.62,116.81,19.99,644.65,2023-10-10T19:22:00,2023-10-10T19:22:00,,
158,140,2023-05-08T19:25:00,4,1554,cancelled,207.41,10.37,45.32,0,242.36,2023-05-08T19:25:00,2023-05-08T19:25:00,,
159,64,2024-04-28T15:54:00,2,2415,completed,364.89,0.0,83.92,0,448.81,2024-04-28T15:54:00,2024-04-28T15:54:00,,
160,104,2024-01-08T17:53:00,4,1907,completed,748.06,0.0,172.05,0,920.11,2024-01-08T17:53:00,2024-01-08T17:53:00,,
161,24,2023-11-11T15:56:00,2,2437,completed,129.46,0.0,29.78,15.99,175.23,2023-11-11T15:56:00,2023-11-11T15:56:00,,
162,50,2023-12-09T09:32:00,1,3443,shipped,417.4,0.0,96.0,0,513.4,2023-12-09T09:32:00,2023-12-09T09:32:00,,
163,160,2023-06-13T16:40:00,1,1094,completed,249.32,12.47,54.48,0,291.33,2023-06-13T16:40:00,2023-06-13T16:40:00,,
164,43,2024-03-31T13:05:00,6,3370,cancelled,225.95,0.0,51.97,15.99,293.91,2024-03-31T13:05:00,2024-03-31T13:05:00,,
165,107,2023-03-14T09:07:00,1,3072,completed,286.78,0.0,65.96,19.99,372.73,2023-03-14T09:07:00,2023-03-14T09:07:00,,
166,40,2023-07-13T14:05:00,6,864,completed,595.86,29.79,130.2,19.99,716.26,2023-07-13T14:05:00,2023-07-13T14:05:00,,
167,67,2023-05-15T22:57:00,5,1194,shipped,295.92,59.18,54.45,15.99,307.18,2023-05-15T22:57:00,2023-05-15T22:57:00,,
168,16,2023-12-28T18:46:00,2,943,completed,146.17,29.23,26.9,15.99,159.83,2023-12-28T18:46:00,2023-12-28T18:46:00,,
169,6,2023-12-02T16:05:00,2,3498,completed,171.79,17.18,35.56,0,190.17,2023-12-02T16:05:00,2023-12-02T16:05:00,,
170,158,2023-06-04T22:13:00,2,438,completed,161.18,8.06,35.22,0,188.34,2023-06-04T22:13:00,2023-06-04T22:13:00,,
171,136,2023-12-05T19:07:00,5,186,processing,489.64,97.93,90.09,15.99,497.79,2023-12-05T19:07:00,2023-12-05T19:07:00,,
172,4,2024-01-01T21:46:00,6,2152,completed,740.49,0.0,170.31,0,910.8,2024-01-01T21:46:00,2024-01-01T21:46:00,,
173,111,2024-04-10T21:55:00,7,215,completed,748.92,0.0,172.25,0,921.17,2024-04-10T21:55:00,2024-04-10T21:55:00,,
174,127,2023-07-23T13:47:00,1,2299,cancelled,103.75,0.0,23.86,25.99,153.6,2023-07-23T13:47:00,2023-07-23T13:47:00,,
175,88,2023-06-04T12:19:00,7,648,completed,772.53,38.63,168.8,0,902.7,2023-06-04T12:19:00,2023-06-04T12:19:00,,
176,63,2024-04-15T15:33:00,6,3,completed,436.36,65.45,85.31,15.99,472.21,2024-04-15T15:33:00,2024-04-15T15:33:00,,
177,91,2024-03-16T17:39:00,6,1724,cancelled,478.93,23.95,104.65,0,559.63,2024-03-16T17:39:00,2024-03-16T17:39:00,,
178,105,2024-04-12T17:21:00,5,2769,completed,298.79,59.76,54.98,25.99,320.0,2024-04-12T17:21:00,2024-04-12T17:21:00,,
179,190,2023-11-09T22:43:00,2,1855,completed,286.22,0.0,65.83,0,352.05,2023-11-09T22:43:00,2023-11-09T22:43:00,,
180,14,2023-03-26T14:04:00,1,1763,cancelled,295.73,0.0,68.02,15.99,379.74,2023-03-26T14:04:00,2023-03-26T14:04:00,,
181,21,2023-12-03T18:51:00,1,977,completed,375.95,0.0,86.47,0,462.42,2023-12-03T18:51:00,2023-12-03T18:51:00,,
182,125,2023-06-02T16:27:00,2,1938,processing,453.22,90.64,83.39,25.99,471.96,2023-06-02T16:27:00,2023-06-02T16:27:00,,
183,65,2023-01-22T17:26:00,2,2207,processing,195.23,0.0,44.9,0,240.13,2023-01-22T17:26:00,2023-01-22T17:26:00,,
184,182,2024-01-02T23:10:00,4,128,completed,428.8,0.0,98.62,15.99,543.41,2024-01-02T23:10:00,2024-01-02T23:10:00,,
185,50,2023-02-03T22:21:00,1,2424,cancelled,786.36,78.64,162.78,15.99,886.49,2023-02-03T22:21:00,2023-02-03T22:21:00,,
186,178,2024-04-27T22:44:00,4,671,completed,440.25,88.05,81.01,0,433.21,2024-04-27T22:44:00,2024-04-27T22:44:00,,
187,173,2023-07-05T15:00:00,1,1355,completed,420.4,0.0,96.69,25.99,543.08,2023-07-05T15:00:00,2023-07-05T15:00:00,,
188,12,2023-12-01T10:40:00,4,1792,completed,737.46,147.49,135.69,19.99,745.65,2023-12-01T10:40:00,2023-12-01T10:40:00,,
189,33,2023-03-09T09:08:00,1,2410,shipped,370.68,18.53,80.99,0,433.14,2023-03-09T09:08:00,2023-03-09T09:08:00,,
190,6,2024-05-08T16:36:00,1,108,cancelled,100.66,20.13,18.52,19.99,119.04,2024-05-08T16:36:00,2024-05-08T16:36:00,,
191,63,2023-10-30T22:58:00,4,1322,completed,98.94,9.89,20.48,25.99,135.52,2023-10-30T22:58:00,2023-10-30T22:58:00,,
192,104,2023-07-31T13:36:00,5,2830,processing,588.35,88.25,115.02,0,615.12,2023-07-31T13:36:00,2023-07-31T13:36:00,,
